project_id,duration_months,budget_kusd,team_size,complexity_score,stakeholder_engagement,risk_score,manager_experience_yrs,industry,success,completion_months
31,9.6,199.0,6,9.6,7.0,2.4,4.0,Finance,1,8.8
32,19.4,146.0,7,8.2,1.9,3.0,5.3,Manufacturing,0,20.7
33,11.9,205.0,7,3.3,6.9,9.6,4.5,Healthcare,0,16.1
34,7.8,159.0,10,6.3,3.8,6.2,3.0,Finance,0,8.3
35,15.3,259.0,12,9.8,4.6,9.4,4.9,Technology,0,13.5
36,7.1,191.0,19,9.0,8.7,6.2,6.6,Technology,0,9.1
37,12.8,150.0,11,6.4,1.1,5.3,3.1,Retail,0,13.2
38,4.2,181.0,16,9.1,6.3,3.8,3.1,Healthcare,0,3.0
39,6.7,225.0,10,9.9,6.4,6.5,2.9,Healthcare,0,6.8
40,12.8,166.0,11,7.7,4.6,2.3,1.1,Technology,0,13.3
41,15.0,151.0,13,1.6,3.1,9.1,4.0,Manufacturing,0,15.8
42,12.7,215.0,3,4.6,3.1,8.5,6.4,Finance,0,10.0
43,11.5,215.0,16,8.5,9.0,3.9,5.3,Manufacturing,1,13.7
44,10.8,170.0,7,3.1,5.0,9.6,4.7,Manufacturing,0,15.3
45,6.1,172.0,16,8.5,4.0,8.4,5.3,Technology,0,9.2
46,9.1,214.0,6,2.1,5.0,7.0,4.0,Technology,0,8.3
47,10.2,113.0,3,1.4,7.0,2.1,1.1,Technology,1,10.4
48,16.2,116.0,10,4.5,2.3,5.3,6.6,Retail,0,17.4
49,13.4,157.0,17,1.3,5.0,5.6,7.1,Manufacturing,1,15.5
50,4.9,187.0,17,9.6,6.3,3.1,3.5,Healthcare,0,6.9
51,13.3,219.0,11,8.4,9.5,1.7,4.7,Finance,0,11.7
52,10.5,289.0,11,8.2,3.3,8.0,4.5,Retail,1,12.4
53,9.3,251.0,12,6.7,4.2,2.1,5.7,Healthcare,0,10.6
54,14.4,190.0,11,2.9,4.4,6.3,8.4,Manufacturing,1,18.3
55,16.1,199.0,5,5.7,6.4,9.4,7.3,Technology,0,19.0
56,15.7,140.0,13,6.4,4.2,8.9,4.2,Manufacturing,0,19.2
57,8.6,199.0,8,5.7,5.8,3.5,6.1,Finance,1,9.3
58,10.8,183.0,4,3.3,8.0,8.7,7.5,Retail,1,14.8
59,13.3,219.0,9,5.6,7.3,1.0,5.8,Retail,1,14.0
60,15.9,150.0,20,5.4,5.0,1.2,5.0,Finance,1,14.4
61,10.1,231.0,4,10.0,8.8,6.4,5.9,Healthcare,0,13.7
62,11.3,292.0,19,9.1,6.0,4.3,3.6,Healthcare,0,13.5
63,7.6,193.0,13,5.2,5.9,4.5,3.9,Retail,1,7.6
64,7.2,224.0,14,6.6,1.3,6.1,2.9,Retail,0,8.1
65,15.3,241.0,9,7.7,9.9,2.7,5.6,Technology,1,15.8
66,17.4,176.0,8,1.3,2.1,2.9,4.7,Healthcare,1,19.2
67,11.7,213.0,3,9.1,3.1,5.4,3.4,Finance,0,13.5
68,16.0,201.0,19,8.7,1.5,7.8,4.7,Healthcare,0,18.6
69,13.4,206.0,13,5.1,6.8,6.6,5.9,Technology,1,17.9
70,9.4,154.0,20,4.5,3.0,3.7,8.8,Retail,0,12.1
71,13.4,201.0,19,3.5,2.6,4.9,7.0,Retail,0,14.8
72,18.2,230.0,9,5.3,1.8,2.5,1.0,Technology,0,21.3
73,11.9,287.0,19,1.4,1.9,1.7,5.5,Finance,1,10.4
74,18.3,258.0,11,8.7,6.3,8.0,7.9,Retail,0,20.3
75,3.0,329.0,19,1.3,7.2,3.4,2.3,Manufacturing,1,7.3
76,15.3,154.0,10,4.0,4.6,2.6,6.1,Retail,1,15.3
77,12.3,252.0,19,9.4,5.3,7.2,4.5,Manufacturing,0,12.1
78,10.8,211.0,9,7.6,7.2,6.6,7.3,Technology,1,10.4
79,12.4,331.0,3,3.5,1.2,6.7,5.8,Technology,0,11.8
80,4.0,152.0,15,3.3,3.9,3.1,3.2,Retail,1,3.4
81,11.1,150.0,19,1.0,9.8,3.1,4.6,Healthcare,1,10.6
82,13.4,164.0,15,7.3,6.2,3.0,4.7,Manufacturing,0,11.1
83,17.9,73.0,18,1.4,3.3,2.6,4.8,Finance,1,18.7
84,9.9,168.0,10,5.8,5.7,6.9,7.2,Retail,0,12.8
85,8.8,154.0,20,9.7,4.1,8.6,3.3,Finance,0,8.9
86,10.0,209.0,3,2.0,5.8,7.5,7.0,Retail,0,14.3
87,15.7,221.0,16,9.1,2.1,8.1,4.4,Healthcare,0,18.7
88,13.3,313.0,17,9.9,2.2,4.6,5.4,Healthcare,0,16.5
89,9.9,257.0,20,1.6,2.3,6.9,5.1,Healthcare,0,10.2
90,14.1,165.0,4,8.9,9.5,4.2,5.0,Healthcare,1,16.2
91,12.4,146.0,19,5.6,7.6,5.7,5.0,Technology,1,11.1
92,15.9,230.0,20,9.2,2.5,5.3,7.9,Technology,0,18.7
93,9.2,121.0,8,6.1,2.7,2.6,6.7,Manufacturing,0,10.1
94,10.7,310.0,6,7.0,7.6,4.5,4.3,Finance,1,12.5
95,10.4,271.0,3,5.9,2.4,9.7,8.2,Retail,0,10.0
96,6.1,172.0,10,8.8,3.1,3.2,5.5,Retail,0,5.1
97,13.2,97.0,9,7.6,9.7,2.2,5.7,Technology,1,14.3
98,13.0,281.0,5,5.7,3.3,4.8,3.3,Retail,0,12.4
99,12.0,193.0,12,8.8,7.0,8.1,4.0,Technology,0,14.5
100,11.1,274.0,12,3.2,9.8,6.2,3.6,Manufacturing,0,9.2
101,6.3,104.0,16,2.4,4.4,7.1,5.2,Finance,1,9.5
102,10.3,164.0,4,2.4,1.2,2.7,6.3,Manufacturing,1,8.7
103,10.6,200.0,3,4.0,3.2,6.6,5.7,Healthcare,1,13.2
104,8.8,203.0,20,3.1,8.5,3.9,8.2,Healthcare,1,10.2
105,11.4,173.0,9,9.4,8.8,8.5,3.2,Healthcare,0,11.5
106,13.6,237.0,10,2.0,7.9,6.7,5.2,Manufacturing,1,15.8
107,19.5,136.0,3,7.3,2.0,2.8,2.4,Retail,0,21.2
108,12.7,191.0,5,2.7,8.2,1.6,3.2,Finance,1,11.8
109,13.0,207.0,10,8.9,9.3,1.4,7.5,Healthcare,1,10.6
110,11.7,231.0,17,9.7,6.4,4.3,4.1,Healthcare,0,8.6
111,4.3,243.0,7,5.2,9.5,3.4,3.4,Healthcare,1,5.4
112,11.9,133.0,5,8.9,8.4,6.8,1.0,Finance,0,10.2
113,12.2,108.0,3,1.0,7.0,5.5,3.4,Healthcare,1,13.5
114,21.9,277.0,17,8.4,6.2,3.4,4.6,Finance,0,21.9
115,11.2,220.0,10,3.1,4.1,2.3,2.3,Healthcare,1,13.4
116,13.2,155.0,4,9.2,2.4,2.1,4.5,Manufacturing,0,13.3
117,11.9,293.0,5,1.0,6.4,8.8,7.5,Manufacturing,1,12.6
118,7.3,207.0,16,6.0,3.9,3.2,3.6,Finance,1,9.7
119,16.6,271.0,16,7.8,8.8,6.9,3.1,Manufacturing,0,18.4
120,15.0,204.0,13,3.3,9.9,8.3,2.8,Finance,0,17.0
121,15.2,324.0,18,2.7,7.8,6.5,2.7,Manufacturing,0,17.4
122,8.4,305.0,6,1.8,1.8,8.7,6.1,Manufacturing,1,7.2
123,17.6,185.0,7,3.9,3.6,4.5,5.1,Finance,1,20.2
124,6.4,258.0,16,6.0,2.0,9.6,6.9,Retail,0,9.6
125,14.3,239.0,18,2.0,6.9,2.2,9.0,Manufacturing,1,12.2
126,20.8,282.0,20,4.4,7.9,1.9,1.3,Healthcare,0,20.7
127,8.0,142.0,9,1.1,9.3,6.9,5.8,Retail,1,8.8
128,9.7,241.0,12,8.4,4.9,9.5,2.8,Finance,0,11.6
129,12.4,264.0,9,2.2,9.1,8.3,6.6,Retail,1,14.2
130,10.0,94.0,3,3.6,8.9,1.7,4.5,Technology,1,12.9
131,5.8,129.0,18,1.2,3.9,3.5,5.1,Technology,1,8.8
132,12.3,78.0,6,4.9,8.8,9.4,2.4,Manufacturing,1,11.4
133,7.8,184.0,20,8.6,4.4,3.3,4.1,Manufacturing,0,9.8
134,13.9,243.0,4,4.5,3.7,8.0,5.2,Healthcare,0,18.3
135,8.3,290.0,3,2.6,6.8,8.4,7.7,Retail,1,10.3
136,18.2,204.0,17,7.8,4.0,5.5,3.4,Technology,0,21.7
137,8.9,298.0,7,8.1,6.7,4.5,3.9,Manufacturing,1,13.7
138,10.7,117.0,13,2.6,6.5,5.1,6.9,Retail,1,13.4
139,15.3,98.0,12,7.9,6.1,3.0,3.3,Manufacturing,1,16.4
140,7.1,197.0,4,9.5,4.4,9.0,7.3,Manufacturing,0,10.8
141,12.9,223.0,5,2.5,5.9,5.1,5.0,Technology,0,14.1
142,17.2,198.0,14,7.9,6.4,8.9,5.6,Technology,0,18.9
143,5.6,76.0,7,7.4,5.9,2.0,5.7,Manufacturing,1,5.1
144,12.7,195.0,7,5.3,5.0,9.9,3.8,Finance,0,18.0
145,13.0,122.0,8,1.5,1.1,5.0,5.8,Manufacturing,1,12.7
146,15.1,240.0,11,1.7,6.3,1.4,3.5,Manufacturing,1,18.5
147,7.1,222.0,4,8.7,2.5,1.3,4.0,Healthcare,0,8.7
148,6.7,144.0,14,9.9,6.8,7.7,6.1,Healthcare,0,5.2
149,14.1,169.0,5,7.1,7.8,6.9,5.6,Healthcare,1,15.9
150,13.2,136.0,14,5.0,5.5,8.2,4.9,Finance,0,10.6
151,13.0,196.0,19,6.8,5.9,1.9,2.5,Finance,0,14.8
152,13.4,257.0,12,6.3,9.6,1.3,3.0,Manufacturing,1,15.2
153,9.3,141.0,16,4.5,8.6,5.6,5.6,Healthcare,1,8.8
154,12.9,230.0,19,1.6,9.2,4.5,6.5,Finance,1,13.5
155,13.2,168.0,20,8.4,8.3,5.2,2.8,Technology,0,18.0
156,9.1,152.0,19,4.3,2.0,9.9,3.3,Manufacturing,0,10.6
157,19.5,194.0,16,8.4,2.3,9.7,5.3,Retail,0,19.5
158,13.9,138.0,11,3.3,5.7,9.5,5.2,Manufacturing,1,18.7
159,7.2,167.0,10,1.0,3.2,8.1,1.8,Retail,1,13.3
160,14.6,128.0,4,2.4,5.3,4.2,5.3,Healthcare,0,15.4
161,8.1,318.0,15,5.2,4.5,4.7,3.8,Retail,0,11.2
162,15.1,202.0,9,9.5,5.9,5.9,8.3,Healthcare,1,18.6
163,16.6,158.0,11,1.9,7.7,8.5,5.5,Technology,1,16.5
164,8.7,213.0,13,8.7,7.4,1.6,5.8,Retail,1,7.7
165,15.9,193.0,16,5.7,5.7,4.8,5.9,Manufacturing,1,19.1
166,13.7,187.0,6,8.4,8.4,1.7,2.6,Healthcare,1,17.3
167,15.3,237.0,15,3.7,4.9,5.6,8.9,Manufacturing,1,17.2
168,19.6,245.0,4,8.6,9.1,9.1,1.8,Finance,0,19.6
169,11.0,168.0,7,8.0,1.6,8.0,6.6,Healthcare,0,16.8
170,9.0,165.0,13,3.1,9.6,3.1,6.2,Retail,1,8.0
171,8.4,183.0,8,2.2,6.9,9.8,4.0,Healthcare,0,9.6
172,8.7,62.0,20,8.8,4.4,7.0,6.3,Manufacturing,1,10.7
173,11.7,109.0,12,9.7,2.8,1.1,4.4,Technology,0,15.3
174,13.4,282.0,6,1.3,5.3,3.3,3.6,Healthcare,0,15.8
175,13.1,299.0,11,7.6,2.8,3.3,5.9,Retail,0,14.7
176,15.3,185.0,8,9.2,2.5,1.6,3.0,Finance,0,17.0
177,12.1,235.0,4,8.7,6.6,9.6,4.6,Technology,0,14.0
178,17.8,219.0,19,9.7,5.7,5.3,3.8,Finance,0,20.0
179,10.9,385.0,7,7.8,7.0,9.1,4.3,Healthcare,1,7.6
180,22.9,267.0,8,5.0,9.4,3.9,5.9,Manufacturing,1,22.5
181,14.5,192.0,14,3.8,5.8,2.1,3.8,Manufacturing,1,15.5
182,8.6,143.0,12,3.9,6.2,5.3,4.6,Retail,0,7.2
183,7.7,104.0,8,7.5,1.8,2.0,4.0,Manufacturing,0,9.3
184,13.9,212.0,10,7.7,7.5,5.4,7.9,Technology,1,14.1
185,11.1,155.0,4,2.8,4.6,9.3,5.7,Manufacturing,0,16.4
186,14.9,115.0,14,8.8,9.8,5.7,5.4,Retail,0,18.6
187,13.9,161.0,15,7.4,8.4,6.5,6.4,Healthcare,1,13.8
188,11.7,135.0,9,6.1,5.7,2.4,3.8,Healthcare,1,11.9
189,8.6,301.0,12,5.2,2.1,1.4,6.7,Manufacturing,1,8.9
190,5.9,253.0,15,5.9,8.7,2.0,5.7,Finance,1,5.0
191,10.2,200.0,19,2.4,8.2,6.4,1.9,Healthcare,0,11.9
192,15.4,289.0,16,2.8,2.7,1.9,2.1,Manufacturing,0,14.8
193,12.9,205.0,4,1.8,3.7,4.4,3.9,Retail,0,11.7
194,7.0,148.0,13,2.4,8.1,6.0,2.4,Manufacturing,1,9.4
195,12.7,291.0,3,5.1,2.7,4.5,4.5,Healthcare,0,15.1
196,13.5,232.0,6,5.8,9.3,2.5,3.0,Retail,1,12.2
197,8.5,138.0,13,1.2,4.8,3.5,4.8,Manufacturing,1,11.0
198,12.6,189.0,10,8.2,1.8,9.4,7.8,Technology,0,13.3
199,12.2,147.0,13,3.6,8.3,7.1,4.9,Retail,1,13.8
200,7.4,117.0,6,9.2,4.4,5.5,4.4,Technology,0,10.3
201,13.4,256.0,19,9.7,5.7,1.1,5.8,Finance,0,13.4
202,14.2,315.0,9,2.7,2.0,9.9,3.6,Retail,1,17.6
203,16.3,116.0,10,5.2,1.0,7.0,6.7,Technology,0,16.9
204,16.2,234.0,5,1.0,6.7,3.9,6.0,Healthcare,1,16.3
205,6.5,161.0,4,6.4,5.6,8.9,5.1,Healthcare,1,7.8
206,8.2,171.0,17,6.5,6.3,3.3,5.3,Finance,1,7.3
207,14.1,164.0,7,3.2,8.1,5.9,9.1,Retail,1,14.2
208,14.1,148.0,3,6.0,6.8,6.7,6.9,Retail,0,11.9
209,14.1,203.0,6,3.0,2.6,3.0,9.4,Retail,1,13.5
210,24.0,150.0,17,2.4,4.2,9.8,6.1,Finance,0,25.4
211,14.3,216.0,5,6.9,9.2,7.7,2.1,Retail,0,15.2
212,16.5,197.0,13,3.9,7.9,6.0,4.5,Healthcare,1,17.0
213,15.8,186.0,19,6.3,6.0,2.6,1.6,Technology,0,16.5
214,14.6,146.0,15,4.9,3.3,1.5,6.1,Healthcare,1,15.9
215,10.7,165.0,13,9.9,3.7,3.9,6.5,Healthcare,0,13.2
216,15.0,245.0,4,2.3,7.6,7.8,3.2,Technology,1,15.2
217,8.9,230.0,11,5.2,8.7,3.4,3.7,Healthcare,1,7.0
218,11.1,141.0,4,7.1,7.0,5.9,5.3,Finance,1,9.9
219,10.1,206.0,11,4.6,8.3,7.6,2.6,Technology,1,10.5
220,12.3,245.0,11,9.8,7.9,2.0,2.5,Healthcare,1,12.0
221,21.3,100.0,10,7.5,2.3,7.2,7.5,Manufacturing,0,21.2
222,4.5,233.0,19,6.9,4.8,1.8,5.2,Healthcare,0,3.0
223,14.7,160.0,3,7.8,2.4,9.7,3.9,Finance,0,16.1
224,5.5,234.0,13,9.6,3.1,5.4,1.6,Retail,0,7.5
225,10.1,154.0,10,9.2,8.8,2.4,6.7,Healthcare,1,11.2
226,16.4,92.0,12,7.5,5.3,4.1,3.6,Retail,0,16.2
227,12.3,102.0,9,7.7,5.8,4.7,8.7,Manufacturing,1,11.9
228,7.7,203.0,5,2.3,2.6,7.8,6.7,Healthcare,1,7.5
229,9.1,216.0,5,1.9,3.8,7.7,3.4,Technology,1,10.9
230,14.7,146.0,20,6.1,3.1,6.5,3.6,Retail,0,14.7
231,9.1,238.0,7,1.2,2.9,2.0,8.4,Manufacturing,1,10.5
232,12.9,100.0,14,5.3,6.7,2.4,4.8,Technology,1,9.6
233,12.2,196.0,14,2.9,3.3,1.8,4.0,Technology,0,12.1
234,9.4,127.0,8,4.1,6.7,6.2,5.1,Technology,0,11.1
235,20.6,161.0,4,8.0,1.5,8.9,4.0,Technology,0,23.2
236,14.5,203.0,14,9.5,2.3,4.9,5.5,Healthcare,0,21.1
237,3.9,148.0,7,1.7,3.5,2.4,4.8,Healthcare,0,5.3
238,12.7,177.0,14,5.8,6.4,6.0,6.8,Healthcare,1,11.6
239,9.4,260.0,19,8.9,7.1,8.3,4.2,Manufacturing,0,10.7
240,15.4,165.0,19,1.7,5.0,7.7,3.2,Manufacturing,0,13.6
241,8.8,250.0,12,8.4,5.0,8.9,4.3,Manufacturing,0,10.5
242,11.5,132.0,19,4.2,7.5,3.5,4.3,Finance,1,10.4
243,14.0,232.0,17,3.9,1.1,2.7,4.8,Manufacturing,1,16.8
244,15.5,286.0,14,9.8,4.1,8.9,6.3,Healthcare,0,16.1
245,7.2,52.0,18,2.8,8.4,6.9,6.2,Healthcare,1,7.9
246,10.7,152.0,10,7.2,6.4,3.8,7.4,Finance,1,9.8
247,10.1,235.0,19,8.4,4.0,7.7,3.4,Finance,0,15.4
248,9.4,188.0,7,1.4,9.1,8.3,5.8,Manufacturing,1,9.9
249,19.1,222.0,18,7.0,8.0,6.5,6.5,Retail,0,23.6
250,13.6,164.0,8,9.6,3.4,7.2,3.7,Finance,0,17.0
251,7.0,205.0,10,2.1,6.8,4.4,4.6,Technology,1,8.7
252,15.7,191.0,20,9.1,6.4,5.8,1.5,Healthcare,0,17.8
253,20.5,270.0,14,6.4,4.6,5.7,6.8,Technology,0,22.3
254,16.1,215.0,17,6.5,4.3,8.6,4.6,Healthcare,0,14.1
255,5.9,220.0,11,6.5,4.1,8.6,6.6,Healthcare,1,7.0
256,10.1,175.0,15,3.7,6.6,8.5,5.4,Finance,0,13.3
257,17.1,171.0,17,9.4,5.0,1.1,4.6,Finance,1,17.2
258,9.2,174.0,12,9.5,8.5,7.7,1.8,Technology,0,7.9
259,13.8,224.0,18,6.6,7.0,7.8,2.2,Healthcare,0,15.3
260,15.1,175.0,9,8.1,1.6,7.1,1.0,Technology,0,20.7
261,8.3,217.0,19,6.5,6.8,7.8,3.9,Retail,1,12.3
262,11.8,325.0,9,5.4,3.4,8.6,9.6,Technology,1,13.1
263,3.0,252.0,16,6.9,6.3,5.2,2.4,Manufacturing,0,6.1
264,7.9,180.0,17,6.0,7.1,5.5,1.0,Technology,0,8.5
265,11.0,272.0,9,6.4,3.1,2.1,6.9,Manufacturing,1,8.0
266,7.0,176.0,11,8.1,5.1,4.5,9.7,Manufacturing,1,5.6
267,18.5,78.0,18,5.3,2.7,6.8,5.6,Manufacturing,0,23.2
268,6.3,140.0,10,1.4,1.5,8.0,5.6,Retail,1,7.6
269,10.2,88.0,20,2.5,4.4,3.0,4.4,Technology,1,10.5
270,12.5,179.0,20,4.9,4.3,2.2,1.4,Technology,0,12.8
271,17.8,201.0,9,7.5,10.0,7.0,2.1,Retail,1,22.8
272,6.3,301.0,5,6.3,5.0,1.0,4.4,Healthcare,1,9.8
273,16.7,220.0,20,6.9,4.0,2.6,4.0,Finance,1,21.8
274,12.0,187.0,12,5.3,6.2,1.3,4.8,Technology,1,11.9
275,8.1,250.0,9,6.5,1.8,2.5,6.7,Finance,0,9.3
276,13.8,67.0,19,4.0,9.7,2.6,3.8,Retail,1,11.0
277,12.8,214.0,16,5.2,6.7,4.5,6.7,Healthcare,1,16.3
278,9.6,246.0,5,7.7,7.8,4.6,3.8,Healthcare,1,8.0
279,12.3,111.0,14,8.8,2.5,8.9,7.1,Healthcare,0,14.5
280,10.5,269.0,15,4.9,4.7,5.6,5.2,Retail,1,9.4
281,12.5,220.0,4,1.4,4.8,7.5,4.1,Manufacturing,1,12.9
282,14.6,175.0,5,2.5,8.4,1.9,5.1,Manufacturing,1,13.0
283,18.3,238.0,7,1.2,1.0,3.0,4.4,Finance,0,18.2
284,7.0,336.0,13,6.9,3.7,7.3,5.2,Manufacturing,0,7.5
285,20.5,211.0,10,4.0,9.8,1.5,6.5,Manufacturing,1,19.1
286,4.2,215.0,14,5.9,5.3,5.4,4.8,Healthcare,0,6.9
287,11.4,172.0,9,5.4,4.4,6.4,4.3,Healthcare,0,10.6
288,14.4,149.0,17,1.7,2.1,6.4,2.8,Finance,0,16.6
289,13.1,250.0,19,4.6,9.8,1.2,6.2,Technology,1,15.2
290,9.5,149.0,6,3.0,1.2,3.9,5.7,Finance,1,9.6
291,11.2,204.0,15,4.8,7.6,6.7,2.6,Finance,1,11.1
292,10.0,171.0,20,2.8,7.9,2.3,6.7,Retail,1,9.6
293,9.6,229.0,3,8.6,3.2,7.3,2.6,Retail,0,13.9
294,15.4,220.0,18,2.6,7.0,7.7,7.1,Finance,1,16.9
295,13.4,262.0,15,9.6,1.8,9.8,6.4,Finance,0,14.5
296,9.2,169.0,12,4.7,3.3,2.9,5.8,Finance,1,10.9
297,15.6,184.0,14,8.6,8.1,8.4,4.2,Manufacturing,0,14.8
298,13.2,141.0,4,6.7,8.8,5.7,6.2,Retail,1,15.2
299,15.3,173.0,5,7.6,6.5,4.4,7.2,Finance,1,16.6
300,14.5,223.0,12,7.9,5.6,2.1,6.2,Healthcare,1,14.1
